Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
F;29779.07;Department of Liquor Control;Walnut Hill;Parttime-Regular;Liquor Store Clerk I;2012
F;40452.28;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Principal Administrative Aide;2012
M;68131.46;Department of Police;MSB Information Management and Technology Division Data Systems Section;Fulltime-Regular;Information Technology Technician III;2015
M;42792;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2016
M;93396;Department of General Services;Building Design and Construction;Fulltime-Regular;Construction Representative III;2005
M;69744;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2004
M;93396;Department of Technology Services;EASD Web and Mobile Applications;Fulltime-Regular;Information Technology Specialist II;2006
M;41270.12;Department of Public Libraries;Materials Delivery;Fulltime-Regular;Driver/Clerk;2008
M;63345;Fire and Rescue Services;Station 30;Fulltime-Regular;Firefighter/Rescuer III;2011
M;42053.42;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2013
F;67206;Department of Transportation;Parking Management Financial Management;Fulltime-Regular;Fiscal Assistant;2001
M;61035.5;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
F;89952.79;Department of Health and Human Services;Tuberculosis Program;Fulltime-Regular;Community Health Nurse II;2008
M;78413.21;Department of Public Libraries;Long Branch Library;Fulltime-Regular;Library Assistant Supervisor;1990
F;59315.72;Department of Liquor Control;Milestone;Fulltime-Regular;Liquor Store Assistant Manager;2002
M;56947.99;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2000
M;39257.31;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
F;24134.31;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2000
F;100849.36;Department of Public Libraries;Damascus Library;Fulltime-Regular;Librarian II;1989
M;74146.46;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2001
F;72967.96;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2007
M;62903;Correction and Rehabilitation;DS MCDC Inmate Property;Fulltime-Regular;Correctional Officer III (Corporal);2007
M;184314;Department of Recreation;Office of the Director;Fulltime-Regular;Director Department of Recreation;2007
F;89079;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;1999
M;69218.79;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;2003
F;29779.06;Department of Liquor Control;Seneca Meadows;Parttime-Regular;Liquor Store Clerk I;2013
M;95362.44;Department of Technology Services;Media Services;Fulltime-Regular;Information Technology Specialist III;2016
F;42053.42;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
F;61917.2;Department of Health and Human Services;Income Supports;Fulltime-Regular;Program Specialist II;2005
M;114087.02;Fire and Rescue Services;Station 9;Fulltime-Regular;Fire/Rescue Captain;1990
M;96763.35;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;1996
M;84974;Department of Housing and Community Affairs;Housing Code Enforcement;Fulltime-Regular;Housing Code Inspector III;1997
M;56387;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Therapist II;2016
M;50910;Fire and Rescue Services;Station 35;Fulltime-Regular;Firefighter/Rescuer III;2014
M;118400;Department of General Services;Building Design and Construction;Fulltime-Regular;Senior Architect;2006
M;46626.87;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2007
M;72902;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2006
F;97392.47;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Master Police Officer;1995
F;37838.46;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
F;102664;Department of Police;ISB Major Crimes Division Victim Witness Assistance Section;Fulltime-Regular;Program Manager II;1998
M;52416.7;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver Helper/Warehouse Worker;1988
M;49831;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2014
M;92202.64;Correction and Rehabilitation;PRRS Assessment and Quality Services;Fulltime-Regular;Correctional Specialist V;1996
M;63493;Fire and Rescue Services;Station 2;Fulltime-Regular;Firefighter/Rescuer III;2008
F;51355.84;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2009
M;97074.01;Department of Health and Human Services;Environmental Health and Regulatory Services;Fulltime-Regular;Environmental Health Specialist III;2004
F;45151.08;Department of Public Libraries;Germantown Library;Parttime-Regular;Library Assistant I;1994
M;65752;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2011
F;91139.47;Department of Health and Human Services;24 Hours Crisis Center;Fulltime-Regular;Supervisory Therapist;2010
F;66639.25;Department of Health and Human Services;Early Childhood Services;Fulltime-Regular;Program Specialist II;2013
M;40631.32;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2015
M;45049.12;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2003
M;120768;Department of Technology Services;ESOD Core Services;Fulltime-Regular;Senior Information Technology Specialist;1992
M;76852;Fire and Rescue Services;Station 31;Fulltime-Regular;Master Firefighter/Rescuer;2006
M;80561.66;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2005
M;77328;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);1997
M;118400;Department of Technology Services;ESOD Public Safety Data Support;Fulltime-Regular;Senior Information Technology Specialist;2004
F;87523.22;Department of Public Libraries;Rockville Library;Fulltime-Regular;Library Associate II;1992
M;112266;Fire and Rescue Services;Station 12;Fulltime-Regular;Fire/Rescue Captain;2000
M;63493;Fire and Rescue Services;Station 9;Fulltime-Regular;Firefighter/Rescuer III;2008
M;70595.53;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Senior Supply Technician;1993
F;86721.89;Department of Health and Human Services;Behavioral Health Planning and Management;Fulltime-Regular;Program Manager I;2005
F;78387.85;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2013
M;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
F;76649.68;Department of Environmental Protection;Field Services;Fulltime-Regular;Environmental Health Specialist III;2007
F;70866.46;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;1996
M;14976;Department of Permitting Services;Land Development Permit Processing;Parttime-Regular;Office Clerk;2016
M;61725;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2015
M;56990;Fire and Rescue Services;Station 15;Fulltime-Regular;Firefighter/Rescuer III;2014
F;69222.18;Department of Housing and Community Affairs;Housing;Fulltime-Regular;Office Services Coordinator;1988
M;50910;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2014
M;78096;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2004
M;64141;Department of Police;FSB Traffic Division Automated Traffic Enforcement Section;Fulltime-Regular;Traffic Enforcement Field Service Technician II;2001
M;74424;Sheriff Office;Evictions;Fulltime-Regular;Deputy Sheriff III;2004
M;49118;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
M;102664;Offices of the County Executive;Planning Implementation;Fulltime-Regular;Senior Planning Specialist;2007
M;72497.95;Department of General Services;ADA Compliance;Fulltime-Regular;Program Specialist II;2003
F;62678.98;Department of Public Libraries;Rockville Library;Fulltime-Regular;Librarian II;2013
F;72534.66;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;1994
M;53788;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2013
F;46698;Department of Health and Human Services;Chief Office of Community Affairs;Parttime-Regular;Planning Specialist III;2012
F;58360.55;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Therapist II;2015
M;61035.5;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
M;100908.32;Community Engagement Cluster;Community Partnerships;Fulltime-Regular;Community Outreach Manager;2014
F;48593.64;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Office Services Coordinator;2012
M;78096;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
M;63067.93;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1988
M;92229.93;Office of Human Rights;Compliance;Fulltime-Regular;Investigator III;2000
F;65486.66;Department of Police;MSB Information Mgmt and Tech Division Warrant Control Section;Fulltime-Regular;Office Services Coordinator;1997
F;88700.01;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2012
F;35552.39;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2015
M;29779.07;Department of Liquor Control;Silver Spring;Parttime-Regular;Liquor Store Clerk I;2012
M;53034.52;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2000
F;97912;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;2004
M;70435;Department of Police;PSB 6th District Special Assignment Team;Fulltime-Regular;Police Officer III;2007
F;50211;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
F;95263.92;Department of Recreation;Kennedy Shriver Aquatic Center;Fulltime-Regular;Recreation Supervisor;1986
F;44853.06;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Principal Administrative Aide;2007
M;64141;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1998
F;76139.65;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;2000
M;96763.35;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;1991
F;44727.53;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2015
M;39262.4;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Warehouse Worker;2005
M;95414.08;Department of Permitting Services;Team 3 Commercial Building, Life Safety, Structural and Accessibility;Fulltime-Regular;Senior Permitting Services Specialist;2013
F;105743.92;Department of Transportation;Transportation Property Acquisition Section;Fulltime-Regular;Real Estate Specialist III;1979
M;62279.48;Department of Liquor Control;Goshen Crossing;Fulltime-Regular;Liquor Store Assistant Manager;2002
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1995
M;102664;Department of Environmental Protection;Solid Waste Northern Operations;Fulltime-Regular;Program Manager II;2000
F;54605.45;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Community Services Aide III;2007
M;82632.68;Department of Environmental Protection;Construction;Fulltime-Regular;Construction Representative III;2013
M;97392.47;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Master Police Officer;1985
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
F;66971.24;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2008
M;147847.62;Department of Housing and Community Affairs;Community Development;Fulltime-Regular;Manager II;1996
M;69790;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2007
M;60402.79;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer IV (Lieutenant);2012
M;155693.29;Department of Police;PSB 1st District Station;Fulltime-Regular;Police Captain;1989
M;101176.43;Fire and Rescue Services;Station 16;Fulltime-Regular;Fire/Rescue Lieutenant;1992
F;102664;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Social Worker IV;1999
F;71429.48;Office of Human Resources;Recruitment and Selection Division;Fulltime-Regular;Human Resources Specialist III;2014
M;42053.42;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2014
M;35411.29;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Public Service Worker II;2010
F;62903;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2007
M;47863.07;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;1988
M;75453;Department of Police;PSB 4th District Community Action Team;Fulltime-Regular;Police Officer III;2005
F;104717.28;Department of Health and Human Services;Planning, Accountability and Customer Service;Fulltime-Regular;Public Information Officer II;1990
M;80378.16;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2003
M;53932.54;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2001
M;99597;Fire and Rescue Services;Station 29;Fulltime-Regular;Master Firefighter/Rescuer;2001
F;50699.16;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2006
M;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
M;88859;Fire and Rescue Services;Station 40;Fulltime-Regular;Master Firefighter/Rescuer;1999
M;39257.31;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2016
F;60051.29;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Services Aide III;2004
M;83611.44;Fire and Rescue Services;Station 18;Fulltime-Regular;Firefighter/Rescuer III;1993
F;78096;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
F;132782.98;Department of Health and Human Services;Early Childhood Services;Fulltime-Regular;Manager II;2012
M;36707.05;Department of Liquor Control;Beer Warehouse Operations;Fulltime-Regular;Supply Technician III;2014
F;77287.31;Department of Finance;Payroll;Fulltime-Regular;Program Specialist II;2001
F;50211;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
M;40631.32;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
M;91532;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);1997
M;30542.07;Department of Liquor Control;Milestone;Parttime-Regular;Liquor Store Clerk I;2010
F;78895.54;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2000
M;83658;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2006
M;87298.39;Department of Technology Services;ETSD Telephone Services;Fulltime-Regular;Telecommunications Specialist;1991
M;33395.15;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2016
M;56990;Fire and Rescue Services;Station 12;Fulltime-Regular;Firefighter/Rescuer III;2014
M;95475;County Attorney Office;Zoning, Land Use and Economic Development;Fulltime-Regular;Assistant County Attorney III;2016
M;50396.48;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2015
M;92756.7;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;1988
M;67081;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
F;44753;Department of Police;FSB Animal Services Division;Fulltime-Regular;Program Specialist I;2016
M;73801;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2003
M;54742.92;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2002
M;122788.02;Fire and Rescue Services;Station 13;Fulltime-Regular;Fire/Rescue Captain;1990
M;71835.82;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2000
M;58455;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
F;89620;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
F;130842.19;Department of Health and Human Services;Disease Control;Fulltime-Regular;Manager III;2001
M;23210.03;Department of Public Libraries;Olney Library;Parttime-Regular;Library Assistant I;2005
F;39163.74;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2008
M;54720.83;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Supply Technician III;1998
M;93396;Department of Recreation;MLK Indoor Pool;Fulltime-Regular;Recreation Supervisor;1994
M;88859;Fire and Rescue Services;Station 16;Fulltime-Regular;Master Firefighter/Rescuer;1998
M;40946.22;Department of Liquor Control;Muddy Branch;Fulltime-Regular;Liquor Store Clerk II;2012
M;101176.43;Fire and Rescue Services;Station 6;Fulltime-Regular;Fire/Rescue Lieutenant;1993
M;103213.43;Fire and Rescue Services;Station 31;Fulltime-Regular;Fire/Rescue Lieutenant;1995
F;52563.37;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2013
F;50785.5;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2014
F;50785.86;Sheriff Office;Sheriff Domestic Violence;Fulltime-Regular;Client Assistance Specialist;2015
F;17793.55;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2013
F;97912;Fire and Rescue Services;Training;Fulltime-Regular;Community Health Nurse II;2007
M;53788;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
M;93258;Non-Departmental Account;MCERP;Fulltime-Regular;Senior Investment Officer;2016
M;40113.28;Department of Police;FSB Animal Services Division;Fulltime-Regular;Principal Administrative Aide;2013
M;78096;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2007
F;112930.4;Department of Transportation;Transit Operations and Planning;Fulltime-Regular;Senior Planning Specialist;2005
F;78446.81;Department of Health and Human Services;School Health Services;Parttime-Regular;Community Health Nurse II;2012
M;92362;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Program Manager II;2013
F;85405;Sheriff Office;Warrant Section;Fulltime-Regular;Deputy Sheriff III;2002
F;51969;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2015
M;57244.34;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2007
M;44300;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2016
M;58657.24;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2001
M;69054.01;Department of Health and Human Services;Aging and Disability Resource Unit;Fulltime-Regular;Client Assistance Specialist;2000
