id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
93,F,49336.78,Board of Appeals Department,Board of Appeals Division,Fulltime-Regular,Office Services Coordinator,2007
94,F,48503.69,Department of Police,FSB Animal Services Division,Fulltime-Regular,Registered Veterinary Technician,2014
95,F,44753,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,2012
96,M,62903,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2007
97,F,29779.07,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,2012
98,M,65623,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2004
99,M,48258.81,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007
100,F,29779.07,Department of Liquor Control,Walnut Hill,Parttime-Regular,Liquor Store Clerk I,2012
101,F,40452.28,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,2012
102,M,68131.46,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,2015
103,M,42792,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2016
104,M,93396,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,2005
105,M,69744,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2004
106,M,93396,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Information Technology Specialist II,2006
107,M,41270.12,Department of Public Libraries,Materials Delivery,Fulltime-Regular,Driver/Clerk,2008
108,M,63345,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,2011
109,M,42053.42,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2013
110,F,67206,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Fiscal Assistant,2001
111,M,61035.5,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2008
112,F,89952.79,Department of Health and Human Services,Tuberculosis Program,Fulltime-Regular,Community Health Nurse II,2008
113,M,78413.21,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Library Assistant Supervisor,1990
114,F,59315.72,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Assistant Manager,2002
115,M,56947.99,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2000
116,M,39257.31,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016
117,F,24134.31,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2000
118,F,100849.36,Department of Public Libraries,Damascus Library,Fulltime-Regular,Librarian II,1989
119,M,74146.46,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2001
120,F,72967.96,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2007
121,M,62903,Correction and Rehabilitation,DS MCDC Inmate Property,Fulltime-Regular,Correctional Officer III (Corporal),2007
122,M,184314,Department of Recreation,Office of the Director,Fulltime-Regular,Director Department of Recreation,2007
123,F,89079,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,1999
124,M,69218.79,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2003
125,F,29779.06,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,2013
126,M,95362.44,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,2016
127,F,42053.42,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014
128,F,61917.2,Department of Health and Human Services,Income Supports,Fulltime-Regular,Program Specialist II,2005
129,M,114087.02,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,1990
130,M,96763.35,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1996
131,M,84974,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,1997
132,M,56387,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2016
133,M,50910,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer III,2014
134,M,118400,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,2006
135,M,46626.87,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007
136,M,72902,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2006
137,F,97392.47,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Master Police Officer,1995
138,F,37838.46,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2012
139,F,102664,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Program Manager II,1998
140,M,52416.7,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,1988
141,M,49831,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014
142,M,92202.64,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist V,1996
143,M,63493,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,2008
144,F,51355.84,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,2009
145,M,97074.01,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,2004
146,F,45151.08,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,1994
147,M,65752,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2011
148,F,91139.47,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,2010
149,F,66639.25,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist II,2013
150,M,40631.32,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2015
151,M,45049.12,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003
152,M,120768,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Senior Information Technology Specialist,1992
153,M,76852,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,2006
154,M,80561.66,Department of Permitting Services,'Team 4 Commercial Electrical,Mechanical and Fire Protection Systems',Fulltime-Regular,Permitting and Code Enforcement Inspector III,2005
155,M,77328,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),1997
156,M,118400,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,2004
157,F,87523.22,Department of Public Libraries,Rockville Library,Fulltime-Regular,Library Associate II,1992
158,M,112266,Fire and Rescue Services,Station 12,Fulltime-Regular,Fire/Rescue Captain,2000
159,M,63493,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,2008
160,M,70595.53,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Senior Supply Technician,1993
161,F,86721.89,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager I,2005
162,F,78387.85,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2013
163,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2016
164,F,76649.68,Department of Environmental Protection,Field Services,Fulltime-Regular,Environmental Health Specialist III,2007
165,F,70866.46,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,1996
166,M,14976,Department of Permitting Services,Land Development Permit Processing,Parttime-Regular,Office Clerk,2016
167,M,61725,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2015
168,M,56990,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2014
169,F,69222.18,Department of Housing and Community Affairs,Housing,Fulltime-Regular,Office Services Coordinator,1988
170,M,50910,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,2014
171,M,78096,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2004
172,M,64141,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,2001
173,M,74424,Sheriff\'s Office,Evictions,Fulltime-Regular,Deputy Sheriff III,2004
174,M,49118,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2013
175,M,102664,Offices of the County Executive,Planning Implementation,Fulltime-Regular,Senior Planning Specialist,2007
176,M,72497.95,Department of General Services,ADA Compliance,Fulltime-Regular,Program Specialist II,2003
177,F,62678.98,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian II,2013
178,F,72534.66,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,1994
179,M,53788,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013
180,F,46698,Department of Health and Human Services,Chief Office of Community Affairs,Parttime-Regular,Planning Specialist III,2012
181,F,58360.55,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,2015
182,M,61035.5,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2008
183,M,100908.32,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Community Outreach Manager,2014
184,F,48593.64,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Office Services Coordinator,2012
185,M,78096,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2004
186,M,63067.93,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,1988
187,M,92229.93,Office of Human Rights,Compliance,Fulltime-Regular,Investigator III,2000
188,F,65486.66,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,1997
189,F,88700.01,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2012
190,F,35552.39,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015
191,M,29779.07,Department of Liquor Control,Silver Spring,Parttime-Regular,Liquor Store Clerk I,2012
192,M,53034.52,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2000
193,F,97912,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,2004
194,M,70435,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,2007
195,F,50211,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016
196,F,95263.92,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Supervisor,1986
197,F,44853.06,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Principal Administrative Aide,2007
198,M,64141,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1998
199,F,76139.65,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,2000
200,M,96763.35,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1991
201,F,44727.53,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2015
202,M,39262.4,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,2005
203,M,95414.08,Department of Permitting Services,'Team 3 Commercial Building,Life Safety,Structural and Accessibility',Fulltime-Regular,Senior Permitting Services Specialist,2013
204,F,105743.92,Department of Transportation,Transportation Property Acquisition Section,Fulltime-Regular,Real Estate Specialist III,1979
205,M,62279.48,Department of Liquor Control,Goshen Crossing,Fulltime-Regular,Liquor Store Assistant Manager,2002
206,M,66065.23,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,1995
207,M,102664,Department of Environmental Protection,Solid Waste Northern Operations,Fulltime-Regular,Program Manager II,2000
208,F,54605.45,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,2007
209,M,82632.68,Department of Environmental Protection,Construction,Fulltime-Regular,Construction Representative III,2013
210,M,97392.47,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,1985
211,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
212,F,66971.24,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,2008
213,M,147847.62,Department of Housing and Community Affairs,Community Development,Fulltime-Regular,Manager II,1996
214,M,69790,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2007
215,M,60402.79,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),2012
216,M,155693.29,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Captain,1989
217,M,101176.43,Fire and Rescue Services,Station 16,Fulltime-Regular,Fire/Rescue Lieutenant,1992
218,F,102664,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker IV,1999
219,F,71429.48,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist III,2014
220,M,42053.42,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2014
221,M,35411.29,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,2010
222,F,62903,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2007
223,M,47863.07,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,1988
224,M,75453,Department of Police,PSB 4th District Community Action Team,Fulltime-Regular,Police Officer III,2005
225,F,104717.28,Department of Health and Human Services,'Planning,Accountability and Customer Service',Fulltime-Regular,Public Information Officer II,1990
226,M,80378.16,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2003
227,M,53932.54,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,2001
228,M,99597,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,2001
229,F,50699.16,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006
230,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
231,M,88859,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,1999
232,M,39257.31,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2016
233,F,60051.29,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,2004
234,M,83611.44,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,1993
235,F,78096,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2004
236,F,132782.98,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Manager II,2012
237,M,36707.05,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician III,2014
238,F,77287.31,Department of Finance,Payroll,Fulltime-Regular,Program Specialist II,2001
239,F,50211,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer Candidate,2016
240,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
241,M,91532,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),1997
242,M,30542.07,Department of Liquor Control,Milestone,Parttime-Regular,Liquor Store Clerk I,2010
243,F,78895.54,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2000
244,M,83658,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2006
245,M,87298.39,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Specialist,1991
246,M,33395.15,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2016
247,M,56990,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,2014
248,M,95475,County Attorney\'s Office,'Zoning,Land Use and Economic Development',Fulltime-Regular,Assistant County Attorney III,2016
249,M,50396.48,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,2015
250,M,92756.7,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,1988
251,M,67081,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2014
252,F,44753,Department of Police,FSB Animal Services Division,Fulltime-Regular,Program Specialist I,2016
253,M,73801,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2003
254,M,54742.92,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,2002
255,M,122788.02,Fire and Rescue Services,Station 13,Fulltime-Regular,Fire/Rescue Captain,1990
256,M,71835.82,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2000
257,M,58455,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2013
258,F,89620,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2004
259,F,130842.19,Department of Health and Human Services,Disease Control,Fulltime-Regular,Manager III,2001
260,M,23210.03,Department of Public Libraries,Olney Library,Parttime-Regular,Library Assistant I,2005
261,F,39163.74,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2008
262,M,54720.83,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,1998
263,M,93396,Department of Recreation,MLK Indoor Pool,Fulltime-Regular,Recreation Supervisor,1994
264,M,88859,Fire and Rescue Services,Station 16,Fulltime-Regular,Master Firefighter/Rescuer,1998
265,M,40946.22,Department of Liquor Control,Muddy Branch,Fulltime-Regular,Liquor Store Clerk II,2012
266,M,101176.43,Fire and Rescue Services,Station 6,Fulltime-Regular,Fire/Rescue Lieutenant,1993
267,M,103213.43,Fire and Rescue Services,Station 31,Fulltime-Regular,Fire/Rescue Lieutenant,1995
268,F,52563.37,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2013
269,F,50785.5,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2014
270,F,50785.86,Sheriff\'s Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,2015
