;Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
24;M; 156.516,65 ;Department of Finance;Information Technology;Fulltime-Regular;Manager II;2005
25;M; 27.805,44 ;Department of Liquor Control;Kingsview;Parttime-Regular;Liquor Store Clerk I;2016
26;M; 62.836,91 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2000
27;M; 53.148,66 ;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Information Technology Technician III;2014
28;F; 87.758,24 ;County Council;Council Central Staff;Fulltime-Regular;Information Technology Specialist III;2006
29;M; 38.953,38 ;Department of Liquor Control;Beer Warehouse Operations;Fulltime-Regular;Supply Technician III;2007
30;F; 97.912,00 ;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Supervisor;1990
31;F; 16.049,00 ;Department of Police;MSB Personnel Division;Parttime-Regular;Police Cadet;2015
32;M; 28.772,07 ;Department of Liquor Control;Kensington;Parttime-Regular;Liquor Store Clerk I;2015
33;F; 40.000,00 ;Department of General Services;Central Duplicating;Fulltime-Regular;Imaging Operator II;2016
34;M; 86.588,00 ;Department of Police;ISB Criminal Investigations Division Financial Crimes Section;Fulltime-Regular;Police Officer III;2003
35;M; 45.048,50 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2012
36;M; 176.837,00 ;Community Engagement Cluster;Community Partnerships;Fulltime-Regular;Director Office of Community Partnerships;2007
37;M; 73.801,00 ;Department of Technology Services;ETSD Telephone Services;Fulltime-Regular;Telecommunications Technician;2013
38;M; 64.141,00 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1999
39;F; 70.671,77 ;Department of Police;MSB Management and Budget Division;Fulltime-Regular;Administrative Specialist III;2008
40;M; 68.015,00 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2006
41;M; 58.867,29 ;Department of General Services;Facilities;Fulltime-Regular;Office Services Coordinator;1996
42;M; 85.405,00 ;"b""Sheriff\\s Office""";Court and Transport;Fulltime-Regular;Deputy Sheriff III;1997
43;F; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
44;F; 86.673,48 ;Department of Permitting Services;Central Services Unit;Fulltime-Regular;Administrative Specialist II;1988
45;F; 93.396,00 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Communications Supervisor;1996
46;F; 72.445,29 ;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Community Services Aide III;1992
47;M; 123.803,77 ;Department of Technology Services;ETSD Radio Communications Services;Fulltime-Regular;Manager III;2012
48;F; 67.384,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2005
49;F; 29.779,06 ;Department of Liquor Control;Clarksburg Village;Parttime-Regular;Liquor Store Clerk I;2012
50;M; 46.626,08 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2008
51;M; 42.053,83 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
52;M; 29.779,09 ;Department of Liquor Control;Flower Avenue;Parttime-Regular;Liquor Store Clerk I;2014
53;F; 54.272,21 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2007
54;F; 94.373,24 ;Department of Health and Human Services;Adult Protective Services - Nurse Assessment;Fulltime-Regular;Community Health Nurse II;2007
55;F; 29.779,06 ;Department of Liquor Control;Goshen Crossing;Parttime-Regular;Liquor Store Clerk I;2013
56;M; 78.402,89 ;Department of Transportation;Highway Administration;Fulltime-Regular;Highway Inspector II;1996
57;F; 107.657,00 ;Department of Liquor Control;IT Administration;Fulltime-Regular;Information Technology Specialist III;1999
58;M; 83.497,98 ;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;1988
59;F; 96.197,88 ;Department of Health and Human Services;Permanent Supportive Housing;Fulltime-Regular;Social Worker II;1988
60;F; 76.015,03 ;Department of Health and Human Services;Home Care Services;Fulltime-Regular;Community Services Aide III;1994
61;M; 63.067,93 ;Department of Transportation;Transportation Technical Center;Fulltime-Regular;Traffic Field Service Technician II;1979
62;M; 46.325,18 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2006
63;M; 110.886,71 ;Department of Permitting Services;Team 1 Residential Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;1989
64;F; 42.792,00 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2016
65;F; 95.263,92 ;Department of Police;MSB Personnel Division;Fulltime-Regular;Administrative Specialist III;1989
66;M; 60.501,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2012
67;M; 110.886,71 ;Department of Permitting Services;Team 1 Residential Plan Review;Fulltime-Regular;Senior Permitting Services Specialist;1988
68;F; 18.247,04 ;Department of Public Libraries;Bethesda Library;Parttime-Regular;Library Aide;2005
69;M; 93.396,00 ;Department of Finance;Treasury Operations;Fulltime-Regular;Accountant/Auditor III;1999
70;F; 68.940,72 ;Correction and Rehabilitation;DS Health Services;Fulltime-Regular;Correctional Health Nurse II;2015
71;F; 74.426,11 ;Department of Environmental Protection;Management Services;Fulltime-Regular;Administrative Specialist II;2011
72;F; 80.947,60 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Administrative Specialist III;2012
73;F; 57.300,00 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2016
74;M; 28.461,33 ;Department of Health and Human Services;School Health Services Center;Parttime-Regular;School Health Room Technician I;2016
75;F; 64.827,88 ;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;2005
76;M; 58.455,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2013
77;F; 58.322,67 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Services Aide III;2006
78;M; 73.810,48 ;Department of Health and Human Services;Latino Health Initiative;Fulltime-Regular;Program Specialist II;2014
79;F; 51.355,01 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Services Aide III;2006
80;M; 46.626,87 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2008
81;F; 70.319,80 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2008
82;F; 228.383,00 ;Department of Health and Human Services;"b""Director\\s Office""";Fulltime-Regular;Director Department of Health and Human Services;2007
83;F; 50.785,50 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2014
84;M; 58.605,82 ;Office of Human Rights;"b""Director\\s Office""";Fulltime-Regular;Office Services Coordinator;2002
85;F; 37.838,73 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2011
86;M; 88.980,92 ;Department of General Services;Building Design and Construction;Fulltime-Regular;Construction Representative III;2006
87;M; 48.258,81 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2007
88;M; 46.626,87 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2008
89;M; 28.772,17 ;Department of Liquor Control;Potomac;Parttime-Regular;Liquor Store Clerk I;2015
90;F; 49.336,78 ;Board of Appeals Department;Board of Appeals Division;Fulltime-Regular;Office Services Coordinator;2007
91;F; 48.503,69 ;Department of Police;FSB Animal Services Division;Fulltime-Regular;Registered Veterinary Technician;2014
92;F; 44.753,00 ;Department of Recreation;Facilities Division;Fulltime-Regular;Recreation Coordinator;2012
93;M; 62.903,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2007
94;F; 29.779,07 ;Department of Liquor Control;Muddy Branch;Parttime-Regular;Liquor Store Clerk I;2012
95;M; 65.623,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2004
96;M; 48.258,81 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2007
97;F; 29.779,07 ;Department of Liquor Control;Walnut Hill;Parttime-Regular;Liquor Store Clerk I;2012
98;F; 40.452,28 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Principal Administrative Aide;2012
99;M; 68.131,46 ;Department of Police;MSB Information Management and Technology Division Data Systems Section;Fulltime-Regular;Information Technology Technician III;2015
100;M; 42.792,00 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2016
101;M; 93.396,00 ;Department of General Services;Building Design and Construction;Fulltime-Regular;Construction Representative III;2005
102;M; 69.744,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2004
103;M; 93.396,00 ;Department of Technology Services;EASD Web and Mobile Applications;Fulltime-Regular;Information Technology Specialist II;2006
104;M; 41.270,12 ;Department of Public Libraries;Materials Delivery;Fulltime-Regular;Driver/Clerk;2008
105;M; 63.345,00 ;Fire and Rescue Services;Station 30;Fulltime-Regular;Firefighter/Rescuer III;2011
106;M; 42.053,42 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2013
107;F; 67.206,00 ;Department of Transportation;Parking Management Financial Management;Fulltime-Regular;Fiscal Assistant;2001
108;M; 61.035,50 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
109;F; 89.952,79 ;Department of Health and Human Services;Tuberculosis Program;Fulltime-Regular;Community Health Nurse II;2008
110;M; 78.413,21 ;Department of Public Libraries;Long Branch Library;Fulltime-Regular;Library Assistant Supervisor;1990
111;F; 59.315,72 ;Department of Liquor Control;Milestone;Fulltime-Regular;Liquor Store Assistant Manager;2002
112;M; 56.947,99 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2000
113;M; 39.257,31 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
114;F; 24.134,31 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2000
115;F; 100.849,36 ;Department of Public Libraries;Damascus Library;Fulltime-Regular;Librarian II;1989
116;M; 74.146,46 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2001
117;F; 72.967,96 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2007
118;M; 62.903,00 ;Correction and Rehabilitation;DS MCDC Inmate Property;Fulltime-Regular;Correctional Officer III (Corporal);2007
119;M; 184.314,00 ;Department of Recreation;Office of the Director;Fulltime-Regular;Director Department of Recreation;2007
120;F; 89.079,00 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;1999
121;M; 69.218,79 ;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;2003
122;F; 29.779,06 ;Department of Liquor Control;Seneca Meadows;Parttime-Regular;Liquor Store Clerk I;2013
123;M; 95.362,44 ;Department of Technology Services;Media Services;Fulltime-Regular;Information Technology Specialist III;2016
124;F; 42.053,42 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
125;F; 61.917,20 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Program Specialist II;2005
126;M; 114.087,02 ;Fire and Rescue Services;Station 9;Fulltime-Regular;Fire/Rescue Captain;1990
127;M; 96.763,35 ;"b""Sheriff\\s Office""";Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;1996
128;M; 84.974,00 ;Department of Housing and Community Affairs;Housing Code Enforcement;Fulltime-Regular;Housing Code Inspector III;1997
129;M; 56.387,00 ;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Therapist II;2016
130;M; 50.910,00 ;Fire and Rescue Services;Station 35;Fulltime-Regular;Firefighter/Rescuer III;2014
131;M; 118.400,00 ;Department of General Services;Building Design and Construction;Fulltime-Regular;Senior Architect;2006
132;M; 46.626,87 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2007
133;M; 72.902,00 ;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2006
134;F; 97.392,47 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Master Police Officer;1995
135;F; 37.838,46 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
136;F; 102.664,00 ;Department of Police;ISB Major Crimes Division Victim Witness Assistance Section;Fulltime-Regular;Program Manager II;1998
137;M; 52.416,70 ;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver Helper/Warehouse Worker;1988
138;M; 49.831,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2014
139;M; 92.202,64 ;Correction and Rehabilitation;PRRS Assessment and Quality Services;Fulltime-Regular;Correctional Specialist V;1996
140;M; 63.493,00 ;Fire and Rescue Services;Station 2;Fulltime-Regular;Firefighter/Rescuer III;2008
141;F; 51.355,84 ;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2009
142;M; 97.074,01 ;Department of Health and Human Services;Environmental Health and Regulatory Services;Fulltime-Regular;Environmental Health Specialist III;2004
143;F; 45.151,08 ;Department of Public Libraries;Germantown Library;Parttime-Regular;Library Assistant I;1994
144;M; 65.752,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2011
145;F; 91.139,47 ;Department of Health and Human Services;24 Hours Crisis Center;Fulltime-Regular;Supervisory Therapist;2010
146;F; 66.639,25 ;Department of Health and Human Services;Early Childhood Services;Fulltime-Regular;Program Specialist II;2013
147;M; 40.631,32 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2015
148;M; 45.049,12 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2003
149;M; 120.768,00 ;Department of Technology Services;ESOD Core Services;Fulltime-Regular;Senior Information Technology Specialist;1992
150;M; 76.852,00 ;Fire and Rescue Services;Station 31;Fulltime-Regular;Master Firefighter/Rescuer;2006
151;M; 80.561,66 ;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2005
152;M; 77.328,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);1997
153;M; 118.400,00 ;Department of Technology Services;ESOD Public Safety Data Support;Fulltime-Regular;Senior Information Technology Specialist;2004
154;F; 87.523,22 ;Department of Public Libraries;Rockville Library;Fulltime-Regular;Library Associate II;1992
155;M; 112.266,00 ;Fire and Rescue Services;Station 12;Fulltime-Regular;Fire/Rescue Captain;2000
156;M; 63.493,00 ;Fire and Rescue Services;Station 9;Fulltime-Regular;Firefighter/Rescuer III;2008
157;M; 70.595,53 ;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Senior Supply Technician;1993
158;F; 86.721,89 ;Department of Health and Human Services;Behavioral Health Planning and Management;Fulltime-Regular;Program Manager I;2005
159;F; 78.387,85 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2013
160;M; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
161;F; 76.649,68 ;Department of Environmental Protection;Field Services;Fulltime-Regular;Environmental Health Specialist III;2007
162;F; 70.866,46 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;1996
163;M; 14.976,00 ;Department of Permitting Services;Land Development Permit Processing;Parttime-Regular;Office Clerk;2016
164;M; 61.725,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2015
165;M; 56.990,00 ;Fire and Rescue Services;Station 15;Fulltime-Regular;Firefighter/Rescuer III;2014
166;F; 69.222,18 ;Department of Housing and Community Affairs;Housing;Fulltime-Regular;Office Services Coordinator;1988
167;M; 50.910,00 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2014
168;M; 78.096,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2004
169;M; 64.141,00 ;Department of Police;FSB Traffic Division Automated Traffic Enforcement Section;Fulltime-Regular;Traffic Enforcement Field Service Technician II;2001
170;M; 74.424,00 ;"b""Sheriff\\s Office""";Evictions;Fulltime-Regular;Deputy Sheriff III;2004
171;M; 49.118,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2013
172;M; 102.664,00 ;Offices of the County Executive;Planning Implementation;Fulltime-Regular;Senior Planning Specialist;2007
173;M; 72.497,95 ;Department of General Services;ADA Compliance;Fulltime-Regular;Program Specialist II;2003
174;F; 62.678,98 ;Department of Public Libraries;Rockville Library;Fulltime-Regular;Librarian II;2013
175;F; 72.534,66 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Communications Specialist III;1994
176;M; 53.788,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2013
177;F; 46.698,00 ;Department of Health and Human Services;Chief Office of Community Affairs;Parttime-Regular;Planning Specialist III;2012
178;F; 58.360,55 ;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Therapist II;2015
179;M; 61.035,50 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
180;M; 100.908,32 ;Community Engagement Cluster;Community Partnerships;Fulltime-Regular;Community Outreach Manager;2014
181;F; 48.593,64 ;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Office Services Coordinator;2012
182;M; 78.096,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
183;M; 63.067,93 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1988
184;M; 92.229,93 ;Office of Human Rights;Compliance;Fulltime-Regular;Investigator III;2000
185;F; 65.486,66 ;Department of Police;MSB Information Mgmt and Tech Division Warrant Control Section;Fulltime-Regular;Office Services Coordinator;1997
186;F; 88.700,01 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2012
187;F; 35.552,39 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2015
188;M; 29.779,07 ;Department of Liquor Control;Silver Spring;Parttime-Regular;Liquor Store Clerk I;2012
189;M; 53.034,52 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2000
190;F; 97.912,00 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;2004
191;M; 70.435,00 ;Department of Police;PSB 6th District Special Assignment Team;Fulltime-Regular;Police Officer III;2007
192;F; 50.211,00 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
193;F; 95.263,92 ;Department of Recreation;Kennedy Shriver Aquatic Center;Fulltime-Regular;Recreation Supervisor;1986
194;F; 44.853,06 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Principal Administrative Aide;2007
195;M; 64.141,00 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1998
196;F; 76.139,65 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;2000
197;M; 96.763,35 ;"b""Sheriff\\s Office""";Court and Transport;Fulltime-Regular;Deputy Sheriff Sergeant;1991
198;F; 44.727,53 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2015
199;M; 39.262,40 ;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Warehouse Worker;2005
200;M; 95.414,08 ;Department of Permitting Services;Team 3 Commercial Building, Life Safety, Structural and Accessibility;Fulltime-Regular;Senior Permitting Services Specialist;2013
201;F; 105.743,92 ;Department of Transportation;Transportation Property Acquisition Section;Fulltime-Regular;Real Estate Specialist III;1979
202;M; 62.279,48 ;Department of Liquor Control;Goshen Crossing;Fulltime-Regular;Liquor Store Assistant Manager;2002
203;M; 66.065,23 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1995
204;M; 102.664,00 ;Department of Environmental Protection;Solid Waste Northern Operations;Fulltime-Regular;Program Manager II;2000
205;F; 54.605,45 ;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Community Services Aide III;2007
206;M; 82.632,68 ;Department of Environmental Protection;Construction;Fulltime-Regular;Construction Representative III;2013
207;M; 97.392,47 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Master Police Officer;1985
208;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
209;F; 66.971,24 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2008
210;M; 147.847,62 ;Department of Housing and Community Affairs;Community Development;Fulltime-Regular;Manager II;1996
211;M; 69.790,00 ;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2007
212;M; 60.402,79 ;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer IV (Lieutenant);2012
213;M; 155.693,29 ;Department of Police;PSB 1st District Station;Fulltime-Regular;Police Captain;1989
214;M; 101.176,43 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Fire/Rescue Lieutenant;1992
215;F; 102.664,00 ;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Social Worker IV;1999
216;F; 71.429,48 ;Office of Human Resources;Recruitment and Selection Division;Fulltime-Regular;Human Resources Specialist III;2014
217;M; 42.053,42 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2014
218;M; 35.411,29 ;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Public Service Worker II;2010
219;F; 62.903,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2007
220;M; 47.863,07 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;1988
221;M; 75.453,00 ;Department of Police;PSB 4th District Community Action Team;Fulltime-Regular;Police Officer III;2005
222;F; 104.717,28 ;Department of Health and Human Services;Planning, Accountability and Customer Service;Fulltime-Regular;Public Information Officer II;1990
223;M; 80.378,16 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2003
224;M; 53.932,54 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2001
225;M; 99.597,00 ;Fire and Rescue Services;Station 29;Fulltime-Regular;Master Firefighter/Rescuer;2001
226;F; 50.699,16 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2006
227;M; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
228;M; 88.859,00 ;Fire and Rescue Services;Station 40;Fulltime-Regular;Master Firefighter/Rescuer;1999
229;M; 39.257,31 ;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2016
230;F; 60.051,29 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Services Aide III;2004
231;M; 83.611,44 ;Fire and Rescue Services;Station 18;Fulltime-Regular;Firefighter/Rescuer III;1993
232;F; 78.096,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
233;F; 132.782,98 ;Department of Health and Human Services;Early Childhood Services;Fulltime-Regular;Manager II;2012
234;M; 36.707,05 ;Department of Liquor Control;Beer Warehouse Operations;Fulltime-Regular;Supply Technician III;2014
235;F; 77.287,31 ;Department of Finance;Payroll;Fulltime-Regular;Program Specialist II;2001
236;F; 50.211,00 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
237;M; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
238;M; 91.532,00 ;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);1997
239;M; 30.542,07 ;Department of Liquor Control;Milestone;Parttime-Regular;Liquor Store Clerk I;2010
240;F; 78.895,54 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2000
241;M; 83.658,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2006
242;M; 87.298,39 ;Department of Technology Services;ETSD Telephone Services;Fulltime-Regular;Telecommunications Specialist;1991
243;M; 33.395,15 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2016
244;M; 56.990,00 ;Fire and Rescue Services;Station 12;Fulltime-Regular;Firefighter/Rescuer III;2014
245;M; 95.475,00 ;"b""County Attorney\\s Office""";Zoning, Land Use and Economic Development;Fulltime-Regular;Assistant County Attorney III;2016
246;M; 50.396,48 ;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2015
